sample_id,group,filename,genome_build,data_type,assay,source_database,study
EE87811,Breast cancer,EE87811.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87812,Breast cancer,EE87812.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87813,Breast cancer,EE87813.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87814,Breast cancer,EE87814.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87815,Breast cancer,EE87815.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87816,Breast cancer,EE87816.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87820,Breast cancer,EE87820.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87822,Breast cancer,EE87822.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87823,Breast cancer,EE87823.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87824,Breast cancer,EE87824.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87825,Breast cancer,EE87825.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87826,Breast cancer,EE87826.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87827,Breast cancer,EE87827.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87828,Breast cancer,EE87828.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87829,Breast cancer,EE87829.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87830,Breast cancer,EE87830.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87831,Breast cancer,EE87831.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87832,Breast cancer,EE87832.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87833,Breast cancer,EE87833.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87834,Breast cancer,EE87834.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87835,Breast cancer,EE87835.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87836,Breast cancer,EE87836.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87837,Breast cancer,EE87837.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87838,Breast cancer,EE87838.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87839,Breast cancer,EE87839.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
