sample_id,group,target_depth,replicate,spearman_rho
EE87811,Breast cancer,20000000,0,0.9539177624250731
EE87811,Breast cancer,20000000,1,0.9533558673286598
EE87811,Breast cancer,20000000,2,0.9625161383619449
EE87811,Breast cancer,20000000,3,0.9606399194352129
EE87811,Breast cancer,20000000,4,0.9602204848739091
EE87811,Breast cancer,20000000,5,0.9549048895165463
EE87811,Breast cancer,20000000,6,0.9539716159267169
EE87811,Breast cancer,20000000,7,0.9536651506485961
EE87811,Breast cancer,20000000,8,0.9580783005311493
EE87811,Breast cancer,20000000,9,0.9622105028654957
EE87811,Breast cancer,20000000,10,0.9615693327479446
EE87811,Breast cancer,20000000,11,0.9581517129788257
EE87811,Breast cancer,20000000,12,0.9569583535809252
EE87811,Breast cancer,20000000,13,0.9502444196482916
EE87811,Breast cancer,20000000,14,0.9622465902621352
EE87811,Breast cancer,20000000,15,0.9503081108052442
EE87811,Breast cancer,20000000,16,0.958513954879029
EE87811,Breast cancer,20000000,17,0.9585069197908758
EE87811,Breast cancer,20000000,18,0.9463791443508894
EE87811,Breast cancer,20000000,19,0.9605397345687297
EE87811,Breast cancer,10000000,0,0.8670286914345197
EE87811,Breast cancer,10000000,1,0.9032265650139856
EE87811,Breast cancer,10000000,2,0.8947837426929537
EE87811,Breast cancer,10000000,3,0.8733782493313411
EE87811,Breast cancer,10000000,4,0.8901301621587819
EE87811,Breast cancer,10000000,5,0.8752653465888292
EE87811,Breast cancer,10000000,6,0.8741668774071871
EE87811,Breast cancer,10000000,7,0.902069372842563
EE87811,Breast cancer,10000000,8,0.8761486409903321
EE87811,Breast cancer,10000000,9,0.8897123705790071
EE87811,Breast cancer,10000000,10,0.8873729287202264
EE87811,Breast cancer,10000000,11,0.9049525717806982
EE87811,Breast cancer,10000000,12,0.875587918408611
EE87811,Breast cancer,10000000,13,0.9060773538245046
EE87811,Breast cancer,10000000,14,0.8993800002866148
EE87811,Breast cancer,10000000,15,0.8852779055239774
EE87811,Breast cancer,10000000,16,0.8738895308768718
EE87811,Breast cancer,10000000,17,0.8938872249313102
EE87811,Breast cancer,10000000,18,0.87457590794978
EE87811,Breast cancer,10000000,19,0.8773510548072452
EE87811,Breast cancer,5000000,0,0.8036256565044222
EE87811,Breast cancer,5000000,1,0.7882107684435059
EE87811,Breast cancer,5000000,2,0.8041892778121997
EE87811,Breast cancer,5000000,3,0.7946988589705474
EE87811,Breast cancer,5000000,4,0.8007252003371632
EE87811,Breast cancer,5000000,5,0.7955343475151159
EE87811,Breast cancer,5000000,6,0.7830584654909384
EE87811,Breast cancer,5000000,7,0.7862315636107391
EE87811,Breast cancer,5000000,8,0.8004275249196426
EE87811,Breast cancer,5000000,9,0.7939853904669345
EE87811,Breast cancer,5000000,10,0.8180864951060541
EE87811,Breast cancer,5000000,11,0.7765299289758978
EE87811,Breast cancer,5000000,12,0.8082083332125573
EE87811,Breast cancer,5000000,13,0.794629797940377
EE87811,Breast cancer,5000000,14,0.784862770183212
EE87811,Breast cancer,5000000,15,0.8101397899723255
EE87811,Breast cancer,5000000,16,0.8053932550016425
EE87811,Breast cancer,5000000,17,0.7879978524089578
EE87811,Breast cancer,5000000,18,0.8044500125866205
EE87811,Breast cancer,5000000,19,0.7859614350773053
EE87811,Breast cancer,2000000,0,0.6494810734366759
EE87811,Breast cancer,2000000,1,0.6680601027823229
EE87811,Breast cancer,2000000,2,0.6464287472476242
EE87811,Breast cancer,2000000,3,0.666118874298572
EE87811,Breast cancer,2000000,4,0.6416112958771877
EE87811,Breast cancer,2000000,5,0.6207804778909327
EE87811,Breast cancer,2000000,6,0.6135260391754135
EE87811,Breast cancer,2000000,7,0.61140427869183
EE87811,Breast cancer,2000000,8,0.6320366258456214
EE87811,Breast cancer,2000000,9,0.6632728658189857
EE87811,Breast cancer,2000000,10,0.6468066226955188
EE87811,Breast cancer,2000000,11,0.6035181075925231
EE87811,Breast cancer,2000000,12,0.6315916907526185
EE87811,Breast cancer,2000000,13,0.6249565660582211
EE87811,Breast cancer,2000000,14,0.6182293074126248
EE87811,Breast cancer,2000000,15,0.6700872289133585
EE87811,Breast cancer,2000000,16,0.6507683212685391
EE87811,Breast cancer,2000000,17,0.6125683099798269
EE87811,Breast cancer,2000000,18,0.6353057719076063
EE87811,Breast cancer,2000000,19,0.655485261847628
EE87811,Breast cancer,1000000,0,0.5481554394537901
EE87811,Breast cancer,1000000,1,0.47295181290609606
EE87811,Breast cancer,1000000,2,0.5253157611130599
EE87811,Breast cancer,1000000,3,0.5695799945494509
EE87811,Breast cancer,1000000,4,0.5494233911910561
EE87811,Breast cancer,1000000,5,0.5318146356269253
EE87811,Breast cancer,1000000,6,0.5356221350935352
EE87811,Breast cancer,1000000,7,0.5358368676108135
EE87811,Breast cancer,1000000,8,0.5188768316170121
EE87811,Breast cancer,1000000,9,0.5283839573330216
EE87811,Breast cancer,1000000,10,0.5235272113834328
EE87811,Breast cancer,1000000,11,0.556031667220457
EE87811,Breast cancer,1000000,12,0.5566835493076122
EE87811,Breast cancer,1000000,13,0.5375913256823706
EE87811,Breast cancer,1000000,14,0.59941183717384
EE87811,Breast cancer,1000000,15,0.5325594843670453
EE87811,Breast cancer,1000000,16,0.5215453156661074
EE87811,Breast cancer,1000000,17,0.5362557754722492
EE87811,Breast cancer,1000000,18,0.5521396249098655
EE87811,Breast cancer,1000000,19,0.5036142610779915
EE87812,Breast cancer,20000000,0,0.9211786117686603
EE87812,Breast cancer,20000000,1,0.910785311257053
EE87812,Breast cancer,20000000,2,0.9051063666244996
EE87812,Breast cancer,20000000,3,0.9192306740265849
EE87812,Breast cancer,20000000,4,0.9224265582394562
EE87812,Breast cancer,20000000,5,0.9192628530409169
EE87812,Breast cancer,20000000,6,0.9199871414222084
EE87812,Breast cancer,20000000,7,0.9196303712572356
EE87812,Breast cancer,20000000,8,0.897820360326793
EE87812,Breast cancer,20000000,9,0.9264719944865755
EE87812,Breast cancer,20000000,10,0.9166809105488541
EE87812,Breast cancer,20000000,11,0.9127071279773732
EE87812,Breast cancer,20000000,12,0.9163202143539285
EE87812,Breast cancer,20000000,13,0.9105019535397569
EE87812,Breast cancer,20000000,14,0.9044657827642947
EE87812,Breast cancer,20000000,15,0.9116949220994268
EE87812,Breast cancer,20000000,16,0.9122604650193271
EE87812,Breast cancer,20000000,17,0.9268940346360841
EE87812,Breast cancer,20000000,18,0.9016138361944864
EE87812,Breast cancer,20000000,19,0.9130590778041666
EE87812,Breast cancer,10000000,0,0.8049844250965046
EE87812,Breast cancer,10000000,1,0.8133595672639111
EE87812,Breast cancer,10000000,2,0.8113971033675926
EE87812,Breast cancer,10000000,3,0.828319942781283
EE87812,Breast cancer,10000000,4,0.8109695914828533
EE87812,Breast cancer,10000000,5,0.8159669142409728
EE87812,Breast cancer,10000000,6,0.8054684782452928
EE87812,Breast cancer,10000000,7,0.7985110366202395
EE87812,Breast cancer,10000000,8,0.8079394032672026
EE87812,Breast cancer,10000000,9,0.8139936371536035
EE87812,Breast cancer,10000000,10,0.8192965302684668
EE87812,Breast cancer,10000000,11,0.8113127474494549
EE87812,Breast cancer,10000000,12,0.8126374284928888
EE87812,Breast cancer,10000000,13,0.8216857377541547
EE87812,Breast cancer,10000000,14,0.80635665812468
EE87812,Breast cancer,10000000,15,0.785195243238173
EE87812,Breast cancer,10000000,16,0.821408750346869
EE87812,Breast cancer,10000000,17,0.8293919278452688
EE87812,Breast cancer,10000000,18,0.8165639847781537
EE87812,Breast cancer,10000000,19,0.8058328697557653
EE87812,Breast cancer,5000000,0,0.6727440710734138
EE87812,Breast cancer,5000000,1,0.6764350712894646
EE87812,Breast cancer,5000000,2,0.7053766964007708
EE87812,Breast cancer,5000000,3,0.6995008458309425
EE87812,Breast cancer,5000000,4,0.6854275425887878
EE87812,Breast cancer,5000000,5,0.6962321891761261
EE87812,Breast cancer,5000000,6,0.7055712591104806
EE87812,Breast cancer,5000000,7,0.6465494626389507
EE87812,Breast cancer,5000000,8,0.731620346824327
EE87812,Breast cancer,5000000,9,0.6726998412121931
EE87812,Breast cancer,5000000,10,0.701763268392682
EE87812,Breast cancer,5000000,11,0.6719387269877708
EE87812,Breast cancer,5000000,12,0.7081411603465954
EE87812,Breast cancer,5000000,13,0.6654196864145232
EE87812,Breast cancer,5000000,14,0.6760875509569603
EE87812,Breast cancer,5000000,15,0.7071853443998964
EE87812,Breast cancer,5000000,16,0.7224198488498283
EE87812,Breast cancer,5000000,17,0.688522145823117
EE87812,Breast cancer,5000000,18,0.735929708781857
EE87812,Breast cancer,5000000,19,0.7249792530039176
EE87812,Breast cancer,2000000,0,0.5573295543178122
EE87812,Breast cancer,2000000,1,0.5286304072246188
EE87812,Breast cancer,2000000,2,0.5388067626418893
EE87812,Breast cancer,2000000,3,0.5604250027863621
EE87812,Breast cancer,2000000,4,0.5707512859311897
EE87812,Breast cancer,2000000,5,0.4881790889908899
EE87812,Breast cancer,2000000,6,0.510759052339056
EE87812,Breast cancer,2000000,7,0.5075071886554778
EE87812,Breast cancer,2000000,8,0.49338591736457926
EE87812,Breast cancer,2000000,9,0.48459380733719465
EE87812,Breast cancer,2000000,10,0.5367907823651513
EE87812,Breast cancer,2000000,11,0.48517987816888186
EE87812,Breast cancer,2000000,12,0.5921629540101135
EE87812,Breast cancer,2000000,13,0.47512466803786896
EE87812,Breast cancer,2000000,14,0.5549988987317723
EE87812,Breast cancer,2000000,15,0.4809285744040627
EE87812,Breast cancer,2000000,16,0.6408179059026631
EE87812,Breast cancer,2000000,17,0.5174814135238777
EE87812,Breast cancer,2000000,18,0.517543044117092
EE87812,Breast cancer,2000000,19,0.5149943542602402
EE87812,Breast cancer,1000000,0,0.3704614550025348
EE87812,Breast cancer,1000000,1,0.4363359164492046
EE87812,Breast cancer,1000000,2,0.4039215740557731
EE87812,Breast cancer,1000000,3,0.41910092039984337
EE87812,Breast cancer,1000000,4,0.3602480618286798
EE87812,Breast cancer,1000000,5,0.4229625828365489
EE87812,Breast cancer,1000000,6,0.4213842390749402
EE87812,Breast cancer,1000000,7,0.3430000072793668
EE87812,Breast cancer,1000000,8,0.41619822515082056
EE87812,Breast cancer,1000000,9,0.3540291400913674
EE87812,Breast cancer,1000000,10,0.40353622718079846
EE87812,Breast cancer,1000000,11,0.37950429553292037
EE87812,Breast cancer,1000000,12,0.49466033413031296
EE87812,Breast cancer,1000000,13,0.39312908199067276
EE87812,Breast cancer,1000000,14,0.45215801555219376
EE87812,Breast cancer,1000000,15,0.48224908547910983
EE87812,Breast cancer,1000000,16,0.3962530852003022
EE87812,Breast cancer,1000000,17,0.37870284283408784
EE87812,Breast cancer,1000000,18,0.3433490409679868
EE87812,Breast cancer,1000000,19,0.424000781546357
EE87813,Breast cancer,20000000,0,0.9603742940667329
EE87813,Breast cancer,20000000,1,0.9500270981173323
EE87813,Breast cancer,20000000,2,0.9501276086823411
EE87813,Breast cancer,20000000,3,0.9528712930622306
EE87813,Breast cancer,20000000,4,0.943176876446916
EE87813,Breast cancer,20000000,5,0.9535456673879641
EE87813,Breast cancer,20000000,6,0.9548351900320619
EE87813,Breast cancer,20000000,7,0.9423584611917181
EE87813,Breast cancer,20000000,8,0.9330584654909385
EE87813,Breast cancer,20000000,9,0.9519194871928743
EE87813,Breast cancer,20000000,10,0.9460162510536348
EE87813,Breast cancer,20000000,11,0.9544785501464993
EE87813,Breast cancer,20000000,12,0.9341776959044062
EE87813,Breast cancer,20000000,13,0.9461916722795382
EE87813,Breast cancer,20000000,14,0.9401994708050356
EE87813,Breast cancer,20000000,15,0.9481086686616788
EE87813,Breast cancer,20000000,16,0.9517030775905085
EE87813,Breast cancer,20000000,17,0.94858907398698
EE87813,Breast cancer,20000000,18,0.9439855207463449
EE87813,Breast cancer,20000000,19,0.9523912785751603
EE87813,Breast cancer,10000000,0,0.848348969033887
EE87813,Breast cancer,10000000,1,0.8839947184727085
EE87813,Breast cancer,10000000,2,0.8729722986889984
EE87813,Breast cancer,10000000,3,0.8681971674650625
EE87813,Breast cancer,10000000,4,0.8596245868514204
EE87813,Breast cancer,10000000,5,0.8901220196956413
EE87813,Breast cancer,10000000,6,0.8596154021529977
EE87813,Breast cancer,10000000,7,0.8706819215170778
EE87813,Breast cancer,10000000,8,0.8750784607748239
EE87813,Breast cancer,10000000,9,0.8710766681301387
EE87813,Breast cancer,10000000,10,0.877163191897663
EE87813,Breast cancer,10000000,11,0.8622390340563407
EE87813,Breast cancer,10000000,12,0.8848545625803662
EE87813,Breast cancer,10000000,13,0.8759657938380444
EE87813,Breast cancer,10000000,14,0.8714132266075704
EE87813,Breast cancer,10000000,15,0.8607916949481556
EE87813,Breast cancer,10000000,16,0.8786997724018704
EE87813,Breast cancer,10000000,17,0.8655199255844009
EE87813,Breast cancer,10000000,18,0.8798914381674376
EE87813,Breast cancer,10000000,19,0.8584835346367355
EE87813,Breast cancer,5000000,0,0.7618395772211596
EE87813,Breast cancer,5000000,1,0.7891099175091913
EE87813,Breast cancer,5000000,2,0.7539630345201355
EE87813,Breast cancer,5000000,3,0.7721236586106223
EE87813,Breast cancer,5000000,4,0.778853189091008
EE87813,Breast cancer,5000000,5,0.7752329522101407
EE87813,Breast cancer,5000000,6,0.7591174742470177
EE87813,Breast cancer,5000000,7,0.7841848612719701
EE87813,Breast cancer,5000000,8,0.7584067349243925
EE87813,Breast cancer,5000000,9,0.7595383014801798
EE87813,Breast cancer,5000000,10,0.7786942355269347
EE87813,Breast cancer,5000000,11,0.7620152140295292
EE87813,Breast cancer,5000000,12,0.7722916013471479
EE87813,Breast cancer,5000000,13,0.7707878111945758
EE87813,Breast cancer,5000000,14,0.7639048517355173
EE87813,Breast cancer,5000000,15,0.767686582388155
EE87813,Breast cancer,5000000,16,0.7826152549372641
EE87813,Breast cancer,5000000,17,0.7463281846855283
EE87813,Breast cancer,5000000,18,0.7456734859252641
EE87813,Breast cancer,5000000,19,0.7446118390111273
EE87813,Breast cancer,2000000,0,0.6388012248674934
EE87813,Breast cancer,2000000,1,0.6503950821082793
EE87813,Breast cancer,2000000,2,0.5842635229548114
EE87813,Breast cancer,2000000,3,0.646135402096577
EE87813,Breast cancer,2000000,4,0.615582958273833
EE87813,Breast cancer,2000000,5,0.6205721386500602
EE87813,Breast cancer,2000000,6,0.6546487376999144
EE87813,Breast cancer,2000000,7,0.6002978382834466
EE87813,Breast cancer,2000000,8,0.633402629497863
EE87813,Breast cancer,2000000,9,0.6006165668710071
EE87813,Breast cancer,2000000,10,0.5715461532606508
EE87813,Breast cancer,2000000,11,0.5994569823724465
EE87813,Breast cancer,2000000,12,0.6125827583776563
EE87813,Breast cancer,2000000,13,0.6593950556517066
EE87813,Breast cancer,2000000,14,0.5811375103358419
