sample_id,group,chrom,bin_start,bin_end,short_count,long_count,total_count,short_long_ratio
EE87811,Breast cancer,chr1,0,5000000,8804,33563,42367,0.2623126657330989
EE87811,Breast cancer,chr1,5000000,10000000,12108,46456,58564,0.2606337179266402
EE87811,Breast cancer,chr1,10000000,15000000,11315,45215,56530,0.2502488112352095
EE87811,Breast cancer,chr1,15000000,20000000,12357,47085,59442,0.2624402676011468
EE87811,Breast cancer,chr1,20000000,25000000,12300,46697,58997,0.2634002184294494
EE87811,Breast cancer,chr1,25000000,30000000,12040,42526,54566,0.2831209142642148
EE87811,Breast cancer,chr1,30000000,35000000,12991,50484,63475,0.2573290547500198
EE87811,Breast cancer,chr1,35000000,40000000,12557,47621,60178,0.2636861888662565
EE87811,Breast cancer,chr1,40000000,45000000,13060,48555,61615,0.268973329214293
EE87811,Breast cancer,chr1,45000000,50000000,12903,52581,65484,0.2453928225024248
EE87811,Breast cancer,chr1,50000000,55000000,12726,49314,62040,0.2580605913128118
EE87811,Breast cancer,chr1,55000000,60000000,13891,56821,70712,0.244469474314074
EE87811,Breast cancer,chr1,60000000,65000000,13017,53193,66210,0.2447126501607354
EE87811,Breast cancer,chr1,65000000,70000000,12840,52960,65800,0.2424471299093655
EE87811,Breast cancer,chr1,70000000,75000000,12427,51433,63860,0.2416153053487061
EE87811,Breast cancer,chr1,75000000,80000000,12682,52467,65149,0.2417138391751005
EE87811,Breast cancer,chr1,80000000,85000000,12440,51298,63738,0.2425045810752855
EE87811,Breast cancer,chr1,85000000,90000000,12872,52180,65052,0.2466845534687619
EE87811,Breast cancer,chr1,90000000,95000000,12875,52163,65038,0.2468224603646262
EE87811,Breast cancer,chr1,95000000,100000000,12550,52267,64817,0.2401132645837717
EE87811,Breast cancer,chr1,100000000,105000000,11759,48956,60715,0.2401952773919438
EE87811,Breast cancer,chr1,105000000,110000000,12141,47944,60085,0.2532329384281662
EE87811,Breast cancer,chr1,110000000,115000000,13024,51918,64942,0.2508571208444085
EE87811,Breast cancer,chr1,115000000,120000000,13253,54555,67808,0.2429291540647053
EE87811,Breast cancer,chr1,120000000,125000000,3324,14216,17540,0.2338210467079347
EE87811,Breast cancer,chr1,125000000,130000000,1177,4773,5950,0.2465954326419442
EE87811,Breast cancer,chr1,140000000,145000000,1426,4659,6085,0.3060742648637046
EE87811,Breast cancer,chr1,145000000,150000000,6350,23829,30179,0.2664820177095136
EE87811,Breast cancer,chr1,150000000,155000000,12271,45429,57700,0.2701138039578243
EE87811,Breast cancer,chr1,155000000,160000000,12667,47844,60511,0.2647562912799933
EE87811,Breast cancer,chr1,160000000,165000000,13131,51087,64218,0.25703212167479
EE87811,Breast cancer,chr1,165000000,170000000,13242,53681,66923,0.2466794582813286
EE87811,Breast cancer,chr1,170000000,175000000,13192,52405,65597,0.2517317049899819
EE87811,Breast cancer,chr1,175000000,180000000,13100,53958,67058,0.2427814225879387
EE87811,Breast cancer,chr1,180000000,185000000,13149,51894,65043,0.2533818938605619
EE87811,Breast cancer,chr1,185000000,190000000,11987,48926,60913,0.2450026570739484
EE87811,Breast cancer,chr1,190000000,195000000,11833,48558,60391,0.2436879607891593
EE87811,Breast cancer,chr1,195000000,200000000,11922,49140,61062,0.2426129426129426
EE87811,Breast cancer,chr1,200000000,205000000,12816,48715,61531,0.2630811864928666
EE87811,Breast cancer,chr1,205000000,210000000,12699,49875,62574,0.2546165413533834
EE87811,Breast cancer,chr1,210000000,215000000,13125,52827,65952,0.2484524958827872
EE87811,Breast cancer,chr1,215000000,220000000,12561,53402,65963,0.2352159095164975
EE87811,Breast cancer,chr1,220000000,225000000,12762,50623,63385,0.2520988483495644
EE87811,Breast cancer,chr1,225000000,230000000,12286,47088,59374,0.2609157322460074
EE87811,Breast cancer,chr1,230000000,235000000,13183,52883,66066,0.2492861600136149
EE87811,Breast cancer,chr1,235000000,240000000,12518,49855,62373,0.251088155651389
EE87811,Breast cancer,chr1,240000000,245000000,12212,49668,61880,0.2458725940243215
EE87811,Breast cancer,chr1,245000000,250000000,9857,37987,47844,0.2594835075157291
EE87811,Breast cancer,chr2,0,5000000,12170,50555,62725,0.2407279200870339
EE87811,Breast cancer,chr2,5000000,10000000,12929,52150,65079,0.2479194630872483
EE87811,Breast cancer,chr2,10000000,15000000,12360,51005,63365,0.2423291834133908
EE87811,Breast cancer,chr2,15000000,20000000,13287,55481,68768,0.2394873920801715
EE87811,Breast cancer,chr2,20000000,25000000,12590,51384,63974,0.2450179044060408
EE87811,Breast cancer,chr2,25000000,30000000,12769,48653,61422,0.2624504141574004
EE87811,Breast cancer,chr2,30000000,35000000,12686,51585,64271,0.2459242027721236
EE87811,Breast cancer,chr2,35000000,40000000,12854,50362,63216,0.2552321194551447
EE87811,Breast cancer,chr2,40000000,45000000,12895,50189,63084,0.256928809101596
EE87811,Breast cancer,chr2,45000000,50000000,13167,51919,65086,0.2536065794795739
EE87811,Breast cancer,chr2,50000000,55000000,12338,51115,63453,0.2413772865108089
EE87811,Breast cancer,chr2,55000000,60000000,12521,52644,65165,0.2378428690828964
EE87811,Breast cancer,chr2,60000000,65000000,12914,48640,61554,0.2655016447368421
EE87811,Breast cancer,chr2,65000000,70000000,13082,52735,65817,0.2480705413861761
EE87811,Breast cancer,chr2,70000000,75000000,12750,48849,61599,0.2610084136829823
EE87811,Breast cancer,chr2,75000000,80000000,12085,52050,64135,0.2321805955811719
EE87811,Breast cancer,chr2,80000000,85000000,12599,52563,65162,0.2396933203964766
EE87811,Breast cancer,chr2,85000000,90000000,10008,36371,46379,0.2751642792334552
EE87811,Breast cancer,chr2,90000000,95000000,3889,16915,20804,0.2299142772686964
EE87811,Breast cancer,chr2,95000000,100000000,11264,43883,55147,0.2566825422145249
EE87811,Breast cancer,chr2,100000000,105000000,12826,52014,64840,0.2465874572230553
EE87811,Breast cancer,chr2,105000000,110000000,11795,48312,60107,0.2441422420930617
EE87811,Breast cancer,chr2,110000000,115000000,10488,40666,51154,0.2579058673093001
EE87811,Breast cancer,chr2,115000000,120000000,12664,53203,65867,0.2380316899422964
EE87811,Breast cancer,chr2,120000000,125000000,12532,52225,64757,0.239961704164672
EE87811,Breast cancer,chr2,125000000,130000000,12545,51236,63781,0.2448473729409009
EE87811,Breast cancer,chr2,130000000,135000000,11351,47058,58409,0.2412129712269964
EE87811,Breast cancer,chr2,135000000,140000000,12807,52975,65782,0.2417555450684285
EE87811,Breast cancer,chr2,140000000,145000000,12307,50343,62650,0.2444629839302385
EE87811,Breast cancer,chr2,145000000,150000000,12897,52985,65882,0.2434085118429744
EE87811,Breast cancer,chr2,150000000,155000000,12700,51702,64402,0.2456384665970368
EE87811,Breast cancer,chr2,155000000,160000000,12695,50832,63527,0.2497442555870317
EE87811,Breast cancer,chr2,160000000,165000000,12580,52040,64620,0.2417371252882398
EE87811,Breast cancer,chr2,165000000,170000000,12615,52495,65110,0.2403086008191256
EE87811,Breast cancer,chr2,170000000,175000000,12752,50700,63452,0.2515187376725838
EE87811,Breast cancer,chr2,175000000,180000000,12925,52519,65444,0.2461014109179535
EE87811,Breast cancer,chr2,180000000,185000000,12382,51926,64308,0.2384547240303509
EE87811,Breast cancer,chr2,185000000,190000000,11888,49963,61851,0.2379360726937934
EE87811,Breast cancer,chr2,190000000,195000000,12064,49224,61288,0.2450836990086136
EE87811,Breast cancer,chr2,195000000,200000000,12686,51254,63940,0.2475123892769344
EE87811,Breast cancer,chr2,200000000,205000000,12579,49951,62530,0.2518267902544494
EE87811,Breast cancer,chr2,205000000,210000000,12688,51612,64300,0.2458343021002867
EE87811,Breast cancer,chr2,210000000,215000000,12407,51360,63767,0.2415693146417445
EE87811,Breast cancer,chr2,215000000,220000000,13012,50862,63874,0.2558294994298297
EE87811,Breast cancer,chr2,220000000,225000000,12833,53281,66114,0.2408550890561363
EE87811,Breast cancer,chr2,225000000,230000000,12526,51947,64473,0.2411303828902535
EE87811,Breast cancer,chr2,230000000,235000000,12653,48681,61334,0.2599165999055073
EE87811,Breast cancer,chr2,235000000,240000000,12401,49242,61643,0.251837861987734
EE87811,Breast cancer,chr2,240000000,245000000,4729,18112,22841,0.2610976148409894
EE87811,Breast cancer,chr3,0,5000000,12662,53370,66032,0.2372493910436575
EE87811,Breast cancer,chr3,5000000,10000000,13046,53755,66801,0.242693702911357
EE87811,Breast cancer,chr3,10000000,15000000,12822,49634,62456,0.2583309827940525
EE87811,Breast cancer,chr3,15000000,20000000,13354,52944,66298,0.2522287700211544
EE87811,Breast cancer,chr3,20000000,25000000,13009,53463,66472,0.2433271608402072
EE87811,Breast cancer,chr3,25000000,30000000,12989,53767,66756,0.2415794074432272
EE87811,Breast cancer,chr3,30000000,35000000,13119,53194,66313,0.2466255592736022
EE87811,Breast cancer,chr3,35000000,40000000,12905,52743,65648,0.2446770187513035
EE87811,Breast cancer,chr3,40000000,45000000,13334,52890,66224,0.2521081489884666
EE87811,Breast cancer,chr3,45000000,50000000,12376,44142,56518,0.2803679035838883
EE87811,Breast cancer,chr3,50000000,55000000,12787,48649,61436,0.2628419905856236
EE87811,Breast cancer,chr3,55000000,60000000,13081,53277,66358,0.2455280890440528
EE87811,Breast cancer,chr3,60000000,65000000,13503,56461,69964,0.23915623173518
EE87811,Breast cancer,chr3,65000000,70000000,13307,55273,68580,0.2407504568234038
EE87811,Breast cancer,chr3,70000000,75000000,13115,52972,66087,0.2475836290870648
EE87811,Breast cancer,chr3,75000000,80000000,12329,51518,63847,0.2393144143794402
EE87811,Breast cancer,chr3,80000000,85000000,11823,48847,60670,0.2420414764468647
